source_repository,source_ref,source_path,size_bytes,blob_hash,migration_decision,destination_path,review_notes
data_pipeline,pre-monorepo-data-pipeline-20260730,.gitattributes,537,add4f0e48c566d31bfa92c7628752e6888f74e5f,merge_manually,.gitattributes,
data_pipeline,pre-monorepo-data-pipeline-20260730,.gitignore,1367,39398b0f7d0f80e8c08eed379a8750e882587691,merge_manually,.gitignore,
data_pipeline,pre-monorepo-data-pipeline-20260730,README.md,13072,31ab90975aa99422ef328103a5ba83a22e046cbc,relocate_data_pipeline,docs/legacy/data_pipeline_repository_README.md,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/README.md,802,2e9b889fa8fa904631808472b07bcb7855b539d3,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/inputs/mutation/mutation_seeds_diagnostic_v1_seed250.jsonl,131,856ea250e1caf4900e5e4c4ee03db2756926dcbc,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/manual_review/prompt_context_manual_review_benign_100_ai_first_pass_v1.xlsx,46792,c2babc2082374064cf424003e0055c4eae37c4bb,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/manual_review/prompt_context_manual_review_pilot_25seeds_ai_first_pass_v1.xlsx,58815,4ee36706409fb21867509ce6c5c190257bbdb78e,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/manual_review/prompt_context_manual_review_seed250_full_ai_first_pass_v1.xlsx,211424,e5b1ba0c65b8adbde4f51b793d8f822583161714,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/manual_review/prompt_context_manual_review_structure_intact_150_ai_first_pass_v1.xlsx,119832,0a88afbac0eceae7f1e8aa9ed8e8c38e906555c9,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/outputs/mutation/candidates/mutation_candidates_seed250_v1.jsonl,132,fd1ff483c664c914359532001b91bd6786cbe7f5,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/outputs/mutation/candidates/mutation_candidates_seed250_v1_unresolved.jsonl,130,6c58e0b10869212e65e7814a2e548119a86ef90e,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/outputs/mutation/logs/mutation_candidates_seed250_v1_attempts.jsonl,132,08be6539668b3fc4568444a1a1dcb5834d969cdd,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/batches/seed_curation_100_v1.csv,350617,2a37039f695066c39d728aeb7e2adc57cb059e38,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/batches/seed_curation_smoke50_candidates_v1.csv,146625,52d48b3e07c16791d35310e6e248c0e48b2b9ef9,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/batches/seed_curation_smoke50_summary_v1.md,8488,66ab8a8bbcbf01752fe09f4b20fc49abb5000bc7,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/batches/structure_sensitive_seed_6_v1.csv,27645,58fa7659a97a9ccb6e03a94d82176d836a7874e8,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/benign/manual_review_benign_schema_v1.csv,259856,a7ecca3fa28e17f94941e1dc5ae2bb3b0fb9c5fe,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/benign/manual_review_seed_malicious_schema_v1.csv,1161345,15597e034fe91c95f0fd31452651f14e2a9afd30,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/bypass/manual_review_bypass_candidate_schema_v1.csv,651004,cd8f041353292ed016d44050e12c6fef70221a6f,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/context_eval/manual_review_context_eval_schema_v1.csv,864824,16cb681902f8d7a06fa5fc8abc097a5f604ab7c6,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/01_seed_review/hard_negative/manual_review_hard_negative_schema_v1.csv,315413,32d260fc96e2bd7bcf2c1a5fa13f0f55400297a5,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/02_operator_review/completed/mutation_operator_manual_review_v1_completed.csv,43297,a2f916192894218a09103f018c6e53f3a98eae72,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/02_operator_review/input/mutation_operator_manual_review_v1.csv,40001,974393adb06dd83416d0a8430d07996fc876f035,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/batches/mutation_input_smoke_excluded_v1.csv,104565,a61a169375ac6d058648d6292454f8cb20e933cd,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/batches/seed_curation_250_v1.csv,474977,a87602da55c99aa056d36624d872f1006e0c8caa,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/batches/seed_curation_additional_150_v1.csv,116577,29e4f3e4adb6081fb872bf95acf3c25f2f07fb39,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/batches/seed_unspecified_relabel_62_v1.csv,26035,883be2f04a5f113278172166be57933f2b28e482,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/mutation_filter/mutation_candidates_1150_classified_v1.csv,796305,bb9b74f804e1700c4039d74c72e7eb95dccd66d7,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/mutation_filter/mutation_candidates_1150_drop_v1.jsonl,130,28f8a41d38e07f0447534559d27ee1239c970839,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/mutation_filter/mutation_candidates_1150_review_v1.jsonl,131,c39697c1e987c2324a63a92bf8c85136e1251b29,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/03_mutation_review/mutation_filter/mutation_candidates_1150_valid_v1.jsonl,132,5d7dafdfd97f06574980b1f3354f1c9aa2b5946f,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/audit/structure_audit_repository_file_v1_completed.csv,126597,410c266a48cc1b10697b088ef2e6467a30c4c536,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/audit/structure_audit_yaml_v1_completed.csv,119473,9dffe83cf4013d2082e1d7c7f3027065d46e6c11,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/audit/structure_intact_repository_file_selected_30_v1.csv,41797,a22e11f0880f64b92951bc9125e66b65d8075693,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/audit/structure_intact_repository_file_summary_v1.csv,163,b2229816ef05ffb556ac80d285c611b91b4d9c9b,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/audit/structure_intact_yaml_initial_audit_summary_v1.csv,112,1b658a7b269bafc2b95c208b5308baec72dab8a3,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/audit/structure_intact_yaml_selected_2_v1.csv,2198,ea40daac9f2565c34a5ec224897f1f762b42549f,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_code_block_candidates_v1.csv,190065,0bebf804659cbdf97ffdc8748f46868828664e07,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_code_block_candidates_v1_completed.csv,192305,ab7909abb43a3fced51e1a2e9f4bdac9c6e21f0a,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_json_candidates_v1.csv,229791,abae08a0d9e19be9d467bc6eeb82f897ca00602a,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_json_candidates_v1_completed.csv,234464,088a62c393f27f3ecbbff791792e34f41b92cd83,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_markdown_candidates_v1.csv,66846,7981ea48dc1104978155bbe07746d34b0f4532b2,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_markdown_candidates_v1_completed.csv,69952,add11e8daa89038e9db5f402c29d01b2983f5239,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_strict_audit_summary_v1.csv,213,c838b155bd239b805d82820e6010983e04ff8b42,review_data_artifact,,
data_pipeline,pre-monorepo-data-pipeline-20260730,data/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv,485730,6bb84d92777f0541d538ad5d5b31a876bebb9590,review_data_artifact,,
