source_repository,source_ref,source_commit,source_path,migration_decision,destination_path,expected_blob_hash,actual_blob_hash,size_bytes,verification_status
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,README.md,relocate_data_pipeline,docs/legacy/data_pipeline_repository_README.md,31ab90975aa99422ef328103a5ba83a22e046cbc,31ab90975aa99422ef328103a5ba83a22e046cbc,13072,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/README.md,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/README.md,2e9b889fa8fa904631808472b07bcb7855b539d3,2e9b889fa8fa904631808472b07bcb7855b539d3,802,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/inputs/mutation/mutation_seeds_diagnostic_v1_seed250.jsonl,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/inputs/mutation/mutation_seeds_diagnostic_v1_seed250.jsonl,856ea250e1caf4900e5e4c4ee03db2756926dcbc,856ea250e1caf4900e5e4c4ee03db2756926dcbc,131,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/manual_review/prompt_context_manual_review_benign_100_ai_first_pass_v1.xlsx,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/manual_review/prompt_context_manual_review_benign_100_ai_first_pass_v1.xlsx,c2babc2082374064cf424003e0055c4eae37c4bb,c2babc2082374064cf424003e0055c4eae37c4bb,46792,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/manual_review/prompt_context_manual_review_pilot_25seeds_ai_first_pass_v1.xlsx,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/manual_review/prompt_context_manual_review_pilot_25seeds_ai_first_pass_v1.xlsx,4ee36706409fb21867509ce6c5c190257bbdb78e,4ee36706409fb21867509ce6c5c190257bbdb78e,58815,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/manual_review/prompt_context_manual_review_seed250_full_ai_first_pass_v1.xlsx,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/manual_review/prompt_context_manual_review_seed250_full_ai_first_pass_v1.xlsx,e5b1ba0c65b8adbde4f51b793d8f822583161714,e5b1ba0c65b8adbde4f51b793d8f822583161714,211424,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/manual_review/prompt_context_manual_review_structure_intact_150_ai_first_pass_v1.xlsx,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/manual_review/prompt_context_manual_review_structure_intact_150_ai_first_pass_v1.xlsx,0a88afbac0eceae7f1e8aa9ed8e8c38e906555c9,0a88afbac0eceae7f1e8aa9ed8e8c38e906555c9,119832,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/outputs/mutation/candidates/mutation_candidates_seed250_v1.jsonl,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/outputs/mutation/candidates/mutation_candidates_seed250_v1.jsonl,fd1ff483c664c914359532001b91bd6786cbe7f5,fd1ff483c664c914359532001b91bd6786cbe7f5,132,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/outputs/mutation/candidates/mutation_candidates_seed250_v1_unresolved.jsonl,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/outputs/mutation/candidates/mutation_candidates_seed250_v1_unresolved.jsonl,6c58e0b10869212e65e7814a2e548119a86ef90e,6c58e0b10869212e65e7814a2e548119a86ef90e,130,verified
llm-prompt-injection-diagnostic-benchmark,pre-monorepo-data-pipeline-20260730,adef409ccba5c192b037b41a96e12c7fcca61c52,data/outputs/mutation/logs/mutation_candidates_seed250_v1_attempts.jsonl,relocate_data_pipeline,data/archive/pre_monorepo_data_pipeline_20260730/outputs/mutation/logs/mutation_candidates_seed250_v1_attempts.jsonl,08be6539668b3fc4568444a1a1dcb5834d969cdd,08be6539668b3fc4568444a1a1dcb5834d969cdd,132,verified
